Date, Minor Trend, Major Trend, Pivot Price, Interpolated Pivot Price
04/05/1996, Down, Down, , 5406.1613333333333333333333333, 
05/05/1996, Down, Down, , 5386.5560000000000000000000000, 
06/05/1996, Down, Down, , 5366.9506666666666666666666667, 
07/05/1996, Down, Down, , 5347.3453333333333333333333333, 
08/05/1996, Down, Down, 5327.74, 5327.74, 15
09/05/1996, Down, Down, , 5361.4266666666666666666666667, 
10/05/1996, Up, Down, , 5395.1133333333333333333333333, 
11/05/1996, Up, Down, , 5428.8000000000000000000000000, 
12/05/1996, Up, Down, , 5462.4866666666666666666666667, 
13/05/1996, Up, Down, , 5496.1733333333333333333333333, 
14/05/1996, Up, Up, , 5529.8600000000000000000000000, 
15/05/1996, Up, Up, , 5563.5466666666666666666666667, 
16/05/1996, Up, Up, , 5597.2333333333333333333333333, 
17/05/1996, Up, Up, , 5630.9200000000000000000000000, 
18/05/1996, Up, Up, , 5664.6066666666666666666666667, 
19/05/1996, Up, Up, , 5698.2933333333333333333333333, 
20/05/1996, Up, Up, , 5731.9800000000000000000000000, 
21/05/1996, Up, Up, , 5765.6666666666666666666666667, 
22/05/1996, Up, Up, , 5799.3533333333333333333333333, 
23/05/1996, Up, Up, 5833.04, 5833.04, 15
24/05/1996, Up, Up, , 5810.7090909090909090909090909, 
25/05/1996, Up, Up, , 5788.3781818181818181818181818, 
26/05/1996, Up, Up, , 5766.0472727272727272727272727, 
27/05/1996, Up, Up, , 5743.7163636363636363636363636, 
28/05/1996, Up, Up, , 5721.3854545454545454545454545, 
29/05/1996, Down, Up, , 5699.0545454545454545454545454, 
30/05/1996, Down, Up, , 5676.7236363636363636363636364, 
31/05/1996, Down, Up, , 5654.3927272727272727272727273, 
01/06/1996, Down, Up, , 5632.0618181818181818181818182, 
02/06/1996, Down, Up, , 5609.7309090909090909090909091, 
03/06/1996, Down, Up, 5587.4, 5587.4, 11
04/06/1996, Down, Up, , 5641.8233333333333333333333333, 
05/06/1996, Up, Up, , 5696.2466666666666666666666667, 
06/06/1996, Up, Up, 5750.67, 5750.67, 3
07/06/1996, Up, Up, , 5739.1338461538461538461538462, 
08/06/1996, Up, Up, , 5727.5976923076923076923076923, 
09/06/1996, Up, Up, , 5716.0615384615384615384615385, 
10/06/1996, Up, Up, , 5704.5253846153846153846153846, 
11/06/1996, Up, Up, , 5692.9892307692307692307692308, 
12/06/1996, Up, Up, , 5681.4530769230769230769230769, 
13/06/1996, Up, Up, , 5669.9169230769230769230769231, 
14/06/1996, Down, Up, , 5658.3807692307692307692307692, 
15/06/1996, Down, Up, , 5646.8446153846153846153846154, 
16/06/1996, Down, Up, , 5635.3084615384615384615384615, 
17/06/1996, Down, Up, , 5623.7723076923076923076923077, 
18/06/1996, Down, Up, , 5612.2361538461538461538461538, 
19/06/1996, Down, Up, 5600.7, 5600.7, 13
20/06/1996, Down, Up, , 5634.682, 
21/06/1996, Up, Up, , 5668.664, 
22/06/1996, Up, Up, , 5702.646, 
23/06/1996, Up, Up, , 5736.628, 
24/06/1996, Up, Up, 5770.61, 5770.61, 5
25/06/1996, Up, Up, , 5719.1433333333333333333333333, 
26/06/1996, Down, Up, , 5667.6766666666666666666666667, 
27/06/1996, Down, Up, 5616.21, 5616.21, 3
28/06/1996, Down, Up, , 5646.944, 
29/06/1996, Down, Up, , 5677.678, 
30/06/1996, Down, Up, , 5708.412, 
01/07/1996, Up, Up, , 5739.146, 
02/07/1996, Up, Up, 5769.88, 5769.88, 5
03/07/1996, Up, Up, , 5727.0392857142857142857142857, 
04/07/1996, Up, Up, , 5684.1985714285714285714285714, 
05/07/1996, Down, Down, , 5641.3578571428571428571428571, 
06/07/1996, Down, Down, , 5598.5171428571428571428571429, 
07/07/1996, Down, Down, , 5555.6764285714285714285714286, 
08/07/1996, Down, Down, , 5512.8357142857142857142857143, 
09/07/1996, Down, Down, , 5469.9950000000000000000000000, 
10/07/1996, Down, Down, , 5427.1542857142857142857142857, 
11/07/1996, Down, Down, , 5384.3135714285714285714285714, 
12/07/1996, Down, Down, , 5341.4728571428571428571428571, 
13/07/1996, Down, Down, , 5298.6321428571428571428571428, 
14/07/1996, Down, Down, , 5255.7914285714285714285714286, 
15/07/1996, Down, Down, , 5212.9507142857142857142857143, 
16/07/1996, Down, Down, 5170.11, 5170.11, 14
17/07/1996, Down, Down, , 5335.27, 
18/07/1996, Up, Down, 5500.43, 5500.43, 2
19/07/1996, Up, Down, , 5457.83, 
20/07/1996, Up, Down, , 5415.23, 
21/07/1996, Up, Down, , 5372.63, 
22/07/1996, Up, Down, , 5330.03, 
23/07/1996, Up, Down, , 5287.43, 
24/07/1996, Down, Down, 5244.83, 5244.83, 6
25/07/1996, Down, Down, , 5281.2385714285714285714285714, 
26/07/1996, Up, Up, , 5317.6471428571428571428571429, 
27/07/1996, Up, Up, , 5354.0557142857142857142857143, 
28/07/1996, Up, Up, , 5390.4642857142857142857142857, 
29/07/1996, Up, Up, , 5426.8728571428571428571428571, 
30/07/1996, Up, Up, , 5463.2814285714285714285714286, 
31/07/1996, Up, Up, , 5499.6900000000000000000000000, 
01/08/1996, Up, Up, , 5536.0985714285714285714285714, 
02/08/1996, Up, Up, , 5572.5071428571428571428571429, 
03/08/1996, Up, Up, , 5608.9157142857142857142857143, 
04/08/1996, Up, Up, , 5645.3242857142857142857142857, 
05/08/1996, Up, Up, , 5681.7328571428571428571428572, 
06/08/1996, Up, Up, , 5718.1414285714285714285714286, 
07/08/1996, Up, Up, 5754.55, 5754.55, 14
08/08/1996, Up, Up, , 5734.5228571428571428571428571, 
09/08/1996, Up, Up, , 5714.4957142857142857142857143, 
10/08/1996, Up, Up, , 5694.4685714285714285714285714, 
11/08/1996, Up, Up, , 5674.4414285714285714285714286, 
12/08/1996, Down, Up, , 5654.4142857142857142857142857, 
13/08/1996, Down, Up, , 5634.3871428571428571428571429, 
14/08/1996, Down, Up, 5614.36, 5614.36, 7
15/08/1996, Down, Up, , 5632.80875, 
16/08/1996, Up, Up, , 5651.25750, 
17/08/1996, Up, Up, , 5669.70625, 
18/08/1996, Up, Up, , 5688.15500, 
19/08/1996, Up, Up, , 5706.60375, 
20/08/1996, Up, Up, , 5725.05250, 
21/08/1996, Up, Up, , 5743.50125, 
22/08/1996, Up, Up, 5761.95, 5761.95, 8
23/08/1996, Up, Up, , 5744.3183333333333333333333333, 
24/08/1996, Up, Up, , 5726.6866666666666666666666667, 
25/08/1996, Up, Up, , 5709.0550000000000000000000000, 
26/08/1996, Up, Up, , 5691.4233333333333333333333333, 
27/08/1996, Up, Up, , 5673.7916666666666666666666667, 
28/08/1996, Up, Up, , 5656.1600000000000000000000000, 
29/08/1996, Up, Up, , 5638.5283333333333333333333333, 
30/08/1996, Down, Down, , 5620.8966666666666666666666667, 
31/08/1996, Down, Down, , 5603.2650000000000000000000000, 
01/09/1996, Down, Down, , 5585.6333333333333333333333333, 
02/09/1996, Down, Down, , 5568.0016666666666666666666667, 
03/09/1996, Down, Down, 5550.37, 5550.37, 12
04/09/1996, Down, Down, , 5564.1411428571428571428571429, 
05/09/1996, Down, Down, , 5577.9122857142857142857142857, 
06/09/1996, Down, Down, , 5591.6834285714285714285714286, 
07/09/1996, Down, Down, , 5605.4545714285714285714285714, 
08/09/1996, Down, Down, , 5619.2257142857142857142857143, 
09/09/1996, Down, Down, , 5632.9968571428571428571428571, 
10/09/1996, Up, Up, , 5646.7680000000000000000000000, 
11/09/1996, Up, Up, , 5660.5391428571428571428571429, 
12/09/1996, Up, Up, , 5674.3102857142857142857142857, 
13/09/1996, Up, Up, , 5688.0814285714285714285714286, 
14/09/1996, Up, Up, , 5701.8525714285714285714285714, 
15/09/1996, Up, Up, , 5715.6237142857142857142857143, 
16/09/1996, Up, Up, , 5729.3948571428571428571428571, 
17/09/1996, Up, Up, , 5743.1660000000000000000000000, 
18/09/1996, Up, Up, , 5756.9371428571428571428571429, 
19/09/1996, Up, Up, , 5770.7082857142857142857142857, 
20/09/1996, Up, Up, , 5784.4794285714285714285714286, 
21/09/1996, Up, Up, , 5798.2505714285714285714285714, 
22/09/1996, Up, Up, , 5812.0217142857142857142857143, 
23/09/1996, Up, Up, , 5825.7928571428571428571428571, 
24/09/1996, Up, Up, , 5839.5640000000000000000000000, 
25/09/1996, Up, Up, , 5853.3351428571428571428571428, 
26/09/1996, Up, Up, , 5867.1062857142857142857142857, 
27/09/1996, Up, Up, , 5880.8774285714285714285714286, 
28/09/1996, Up, Up, , 5894.6485714285714285714285714, 
29/09/1996, Up, Up, , 5908.4197142857142857142857143, 
30/09/1996, Up, Up, , 5922.1908571428571428571428571, 
01/10/1996, Up, Up, , 5935.9620000000000000000000000, 
