Long Term Days, Short Term Days, ICAGR, Max. Draw Down, Bliss,  Sharpe Ratio
20,5,-0.10267762457949,98.8338144575977,-0.103889165001864,-1.33685650938536
20,10,-0.050483756901086,93.3415398029806,-0.054084984035665,-1.31783660017154
20,15,-0.028438022149928,83.0076227216933,-0.0342595308930537,-1.33063380638292
20,20,-0.0314338607700811,80.3295080937323,-0.0391311505771983,-1.51094464213214
20,25,-0.0283096191212118,80.9954072412734,-0.0349521288742726,-1.2340168157155
20,30,0.00114752001682504,58.5639087303309,0.00195943208317775,-1.31962120835084
20,35,-0.00648344650071276,70.4786460655642,-0.00919916437481135,-1.46365583400851
20,40,0.00550132227089794,61.6809578584126,0.00891899617305898,-1.13164855784624
20,45,-0.00559749467249812,70.6039830969888,-0.00792801542769737,-1.37115287158648
20,50,-0.00165574693552718,64.1193530123377,-0.00258228889990294,-1.51480711346554
20,55,0.00300925442779199,50.3852282541266,0.00597249339154384,-1.64805959661744
20,60,0.00131493625496338,49.0966176080023,0.00267826241200995,-1.80746145192853
20,65,0.00374726128845794,38.203041677224,0.00980880349820941,-1.85546528373559
20,70,0.00704442791211773,27.5610640833758,0.0255593466595028,-2.90397981061779
20,75,0.00932424474706155,28.3915434712278,0.0328416267911282,-2.37554407113205
20,80,0.00470958583211386,35.3630716316288,0.0133178075738805,-2.39614573203686
20,85,0.00956635363577123,30.2704725402761,0.0316029213717851,-1.97481867782113
20,90,0.0106554243210644,29.1740947036594,0.0365235817230959,-2.04387675761173
20,95,0.0180801420502726,34.3142494703697,0.0526898950999489,-1.15906411326848
20,100,0.0186379286831853,29.3818333144176,0.0634335117340677,-1.40591914203494
20,105,0.0186091179237191,29.0924223508493,0.0639655154847423,-1.40955625598104
40,5,-0.0866275291309738,99.5510515629435,-0.0870181959616987,-0.773260769493145
40,10,-0.043022310211025,95.1880206441518,-0.0451971896462249,-1.07544534504429
40,15,-0.0171026228953996,85.2483122526577,-0.0200621249189205,-0.986767640082128
40,20,-0.0142213450139768,76.5037579983165,-0.0185890803093487,-1.15860574914111
40,25,-0.017829681640667,77.7770480363685,-0.0229240914778996,-1.30246909084715
40,30,-0.00541928200247664,67.5074266905425,-0.00802768268344593,-1.42138902360375
40,35,-0.00816749952056942,73.2041397230561,-0.0111571552530615,-1.43130427026283
40,40,0.00220034682832665,64.5315374859327,0.00340972323618712,-1.2160329148801
40,45,-0.00343463698170133,69.0619906204625,-0.00497326669973465,-1.31246933872017
40,50,-0.000925683656222905,63.4133338738775,-0.0014597618508183,-1.4885667399923
40,55,0.00252750142053225,51.5273360429089,0.00490516610140198,-1.65524568282109
40,60,0.00104766313083841,49.544693170792,0.00211458193358242,-1.81211781764218
40,65,0.00310076270154811,39.2766441379067,0.00789467320746862,-1.87387339321666
40,70,0.00704442791211773,27.5610640833758,0.0255593466595028,-2.90397981061779
40,75,0.007828521400698,28.7154257970318,0.0272624249280929,-2.90828596751678
40,80,0.00400584340109155,35.4984416235775,0.0112845612874198,-2.74600136450836
40,85,0.00893555482423643,30.4103529520466,0.0293832657527084,-2.21537389305851
40,90,0.010088917462429,29.2373215998195,0.0345069825496303,-2.32568709703522
40,95,0.0178731060493851,34.3006911346199,0.0521071309590776,-1.19015704370313
40,100,0.0183208947462813,29.498043477745,0.0621088471854196,-1.43279963554639
40,105,0.0185479251650335,29.3374980626855,0.0632225867570645,-1.46333437889736
60,5,-0.072219953158079,99.052766498963,-0.0729105866607321,-0.763532171149747
60,10,-0.0196620266326978,90.4841548400224,-0.0217298008335941,-0.97837517235677
60,15,0.00922554705619134,69.0112861082886,0.0133681714635996,-0.696690674550359
60,20,-0.0011692453323147,62.8266061383598,-0.0018610671563887,-1.08620634007876
60,25,0.00367920673689902,61.6401873955248,0.00596884417837791,-0.909306964834668
60,30,0.0134063660721177,50.5685584530979,0.026511268033381,-0.999636307881374
60,35,0.0112588693336239,54.6392998951639,0.0206058081915878,-1.01937289144979
60,40,0.0215937928995612,43.2273522249106,0.0499540031672755,-0.782835189065494
60,45,0.0103621100993467,57.1146218464778,0.0181426572817022,-1.06367284279355
60,50,0.0108450022096043,51.0646014355875,0.0212378083931275,-1.21977157415538
60,55,0.00305859426439431,48.2609884960818,0.00633761213706311,-1.68288842351473
60,60,0.00127148146600512,49.1697191376123,0.00258590345502401,-1.80396568114158
60,65,0.00254901471498126,40.3667454289401,0.00631464015217288,-1.87652896054174
60,70,0.0068751525328266,27.4332751003215,0.0250613625521731,-2.89901510906738
60,75,0.007828521400698,28.7154257970318,0.0272624249280929,-2.90828596751678
60,80,0.00400584340109155,35.4984416235775,0.0112845612874198,-2.74600136450836
