Date, Closing Balance, Open Profit, Current Equity, Projected Equity Curve, ICAGR
19961202, 30000.0, 0.0, 30000.0, 30000, 0
19961203, 30000.0, 0.0, 30000.0, 30005.7500376315, 0
19961204, 30000.0, 0.0, 30000.0, 30011.5011773607, 0
19961205, 30000.0, 0.0, 30000.0, 30017.2534193989, 0
19961206, 30000.0, 0.0, 30000.0, 30023.0067639574, 0
19961209, 30000.0, 0.0, 30000.0, 30040.2734148678, 0
19961210, 30000.0, 0.0, 30000.0, 30046.031171621, 0
19961211, 30000.0, 0.0, 30000.0, 30051.7900319514, 0
19961212, 30000.0, 0.0, 30000.0, 30057.5499960706, 0
19961213, 30000.0, 0.0, 30000.0, 30063.3110641902, 0
19961216, 30000.0, 0.0, 30000.0, 30080.6008946672, 0
19961217, 30000.0, 0.0, 30000.0, 30086.3663809045, 0
19961218, 30000.0, 0.0, 30000.0, 30092.1329722006, 0
19961219, 30000.0, 0.0, 30000.0, 30097.9006687673, 0
19961220, 30000.0, 0.0, 30000.0, 30103.6694708165, 0
19961223, 30000.0, 0.0, 30000.0, 30120.9825119773, 0
19961224, 30000.0, 0.0, 30000.0, 30126.7557380753, 0
19961226, 30000.0, 0.0, 30000.0, 30138.3055101101, 0
19961227, 30000.0, 0.0, 30000.0, 30144.0820564712, 0
19961230, 30000.0, 0.0, 30000.0, 30161.418339475, 0
19961231, 30000.0, 0.0, 30000.0, 30167.199315824, 0
19970102, 30000.0, 0.0, 30000.0, 30178.7645928175, 0
19970103, 30000.0, -8.81250, 29991.18750, 30184.5488938868, -0.00335337341021124
19970106, 30000.0, 17.62500, 30017.62500, 30201.9084499346, 0.0061291818719239
19970107, 30000.0, 55.68750, 30055.68750, 30207.6971869389, 0.0188157451592425
19970108, 30000.0, 73.21875, 30073.21875, 30213.4870334584, 0.0240635733711943
19970109, 30000.0, 5.90625, 30005.90625, 30219.2779897057, 0.00189214516254616
19970110, 30000.0, 108.37500, 30108.37500, 30225.0700558936, 0.0337714888321213
19970113, 30000.0, 102.56250, 30102.56250, 30242.4529162281, 0.0296802094294269
19970114, 30005.90625, 0.0, 30005.90625, 30248.2494243059, 0.00167212828318033
19970115, 30005.90625, 0.0, 30005.90625, 30254.0470433884, 0.0016341253676535
19970116, 30005.90625, 0.0, 30005.90625, 30259.8457736885, 0.00159781147059454
19970117, 30005.90625, 0.0, 30005.90625, 30265.6456154192, 0.00156307643862509
19970121, 30005.90625, 0.0, 30005.90625, 30288.8561009089, 0.00143803032353508
19970122, 30005.90625, 0.0, 30005.90625, 30294.6615029887, 0.00140983365052459
19970123, 30005.90625, 0.0, 30005.90625, 30300.4680177779, 0.00138272146493758
19970124, 30005.90625, 33.171874999999999999999999688, 30039.078125000000000000000000, 30306.2756454896, 0.0089710672961714
19970127, 30005.90625, 74.234374999999999999999999688, 30080.140625000000000000000000, 30323.705208294, 0.0174001998101582
19970128, 30005.90625, 47.796874999999999999999999688, 30053.703125000000000000000000, 30329.5172898297, 0.011460544341595
19970129, 30005.90625, 30.265624999999999999999999688, 30036.171875000000000000000000, 30335.3304853551, 0.00758840162512142
19970130, 30005.90625, 0.9218749999999999999999996875, 30006.828125000000000000000000, 30341.1447950835, 0.00140886377404564
19970131, 29981.468750000000000000000000, 0.0, 29981.468750000000000000000000, 30346.9602192286, -0.00376146134181262
19970203, 29981.468750000000000000000000, 26.34375, 30007.812500000000000000000000, 30364.4131803001, 0.00150960007302409
19970204, 29981.468750000000000000000000, 38.06250, 30019.531250000000000000000000, 30370.2330642482, 0.00371430618384528
19970205, 29981.468750000000000000000000, 20.43750, 30001.906250000000000000000000, 30376.0540636814, 0.000357043945017335
19970206, 29981.468750000000000000000000, 8.71875, 29990.187500000000000000000000, 30381.8761788134, -0.00181040499430623
19970207, 29981.468750000000000000000000, 64.40625, 30045.875000000000000000000000, 30387.6994098582, 0.00832987341122106
19970210, 29981.468750000000000000000000, 64.40625, 30045.875000000000000000000000, 30405.1758006077, 0.00797287883645444
