Date, Open, High, Low, Close, Minor Trend, Major Trend, Major To Up, Major To Down, Price for Major Change, Major Trend Just Changed, ATR, Contract Rollover Day, Sell Stop, Buy Stop
19961202, 115.718, 115.875, 115.343,  115.875, Unknown, Unknown, -1, -1, 0, False, 0.532, False
19961203, 116.125, 116.531, 115.687,  116, Unknown, Unknown, -1, -1, 0, False, 0.5617142857142857142857142857, False, 0, 0
19961204, 115.781, 116.031, 115.156,  115.343, Unknown, Unknown, -1, -1, 0, False, 0.5915510204081632653061224490, False, 115.39533333333333333333333333, 116.14566666666666666666666667
19961205, 115.312, 115.375, 113.906,  114.093, Down, Unknown, -1, -1, 0, False, 0.6751175898931000971817298348, False, 114.91633333333333333333333333, 115.979
19961206, 112.75, 114.156, 112.687,  113.843, Down, Unknown, -1, -1, 0, False, 0.7507254384747096117358508029, False, 113.91633333333333333333333333, 115.18733333333333333333333333
19961209, 114.312, 114.593, 114.156,  114.437, Down, Unknown, -1, -1, 0, False, 0.7506563490961658391895792979, False, 113.583, 114.708
19961210, 114.375, 114.437, 114.125,  114.375, Down, Unknown, -1, -1, 0, False, 0.7088795539441500449810479362, False, 113.656, 114.39533333333333333333333333
19961211, 113.812, 114.062, 112.75,  112.906, Down, Unknown, -1, -1, 0, False, 0.7961291202351833740304719423, False, 113.677, 114.364
19961212, 113.093, 113.718, 112.406,  112.5, Down, Unknown, -1, -1, 0, False, 0.8452596802127849574561412811, False, 113.09366666666666666666666667, 114.07233333333333333333333333
19961213, 112.437, 113.437, 112.312,  113.25, Down, Unknown, -1, -1, 0, False, 0.8719016154306149615079373496, False, 112.48933333333333333333333333, 113.739
19961216, 113.5, 113.531, 112.562,  112.75, Down, Unknown, -1, -1, 0, False, 0.8811490806276992508881337925, False, 112.42666666666666666666666667, 113.562
19961217, 112.593, 112.656, 111.875,  112.531, Down, Unknown, -1, -1, 0, False, 0.8805634539012517031845020027, False, 112.24966666666666666666666667, 113.208
19961218, 112.468, 112.781, 112.031,  112.062, Down, Unknown, -1, -1, 0, False, 0.8681288392439896362145494310, False, 112.156, 112.98933333333333333333333333
19961219, 111.937, 113.187, 111.875,  113.156, Up, Unknown, -1, -1, 0, False, 0.9104022831255144327655447233, False, 111.927, 112.87466666666666666666666667
19961220, 113.5, 113.656, 113.031,  113.312, Up, Unknown, -1, -1, 0, False, 0.8832211133040368677402547497, False, 112.31233333333333333333333333, 113.208
19961223, 113.25, 113.625, 113.062,  113.437, Up, Unknown, -1, -1, 0, False, 0.8527238644179381184316590593, False, 112.656, 113.48933333333333333333333333
19961224, 113.375, 113.468, 113.343,  113.406, Up, Unknown, -1, -1, 0, False, 0.7834168297114678214381677203, False, 113.14533333333333333333333333, 113.583
19961226, 113.468, 113.625, 113.281,  113.343, Up, Unknown, -1, -1, 0, False, 0.7415676078341851717773898422, False, 113.22866666666666666666666667, 113.57266666666666666666666667
19961227, 113.5, 114.031, 113.343,  113.937, Up, Unknown, -1, -1, 0, False, 0.7364659308975961077985908096, False, 113.32233333333333333333333333, 113.708
19961230, 114.031, 114.187, 113.812,  113.875, Up, Unknown, -1, -1, 0, False, 0.7020406041454440975320583515, False, 113.47866666666666666666666667, 113.94766666666666666666666667
19961231, 113.406, 113.406, 112.094,  112.125, Up, Unknown, -1, -1, 0, False, 0.8047986418458779930051956514, True, 113.083, 113.87466666666666666666666667
19970102, 112.156, 112.406, 110.656,  110.875, Down, Down, -1, -1, 0, False, 0.8948178188129372317666055894, False, 112.18733333333333333333333333, 113.333
19970103, 111.156, 111.563, 110.969,  111.063, Down, Down, -1, -1, 0, False, 0.8751208836878955906459764856, False, 111.23966666666666666666666667, 112.45833333333333333333333333
19970106, 110.844, 111.094, 110.75,  110.781, Down, Down, -1, -1, 0, False, 0.8245379423842864867749311060, False, 110.79166666666666666666666667, 111.68766666666666666666666667
19970107, 110.781, 111.031, 110.219,  110.375, Down, Down, -1, -1, 0, False, 0.8233438526334020594630329054, False, 110.646, 111.22933333333333333333333333
19970108, 110.719, 110.813, 110.063,  110.188, Down, Down, -1, -1, 0, False, 0.8163587238111732918951250096, False, 110.344, 110.97933333333333333333333333
19970109, 110.125, 110.969, 109.813,  110.906, Down, Down, -1, -1, 0, False, 0.8487055120196329783813035801, False, 110.03166666666666666666666667, 110.93766666666666666666666667
19970110, 111.031, 111.125, 109.313,  109.813, Up, Down, -1, -1, 0, False, 0.9404478442082393613926080010, False, 109.72966666666666666666666667, 110.969
19970113, 110.063, 110.156, 109.656,  109.875, Up, Down, -1, -1, 0, False, 0.8985004304741213269742643819, False, 109.594, 110.75
19970114, 109.906, 110.938, 109.875,  110.906, Up, Down, -1, -1, 0, False, 0.9141670561432526291671915836, False, 109.61466666666666666666666667, 110.73966666666666666666666667
19970115, 111.031, 111.063, 110.406,  110.781, Up, Down, -1, -1, 0, False, 0.8896749555581809501988876233, False, 109.979, 110.719
19970116, 110.938, 111.313, 109.969,  110.219, Up, Down, -1, -1, 0, False, 0.9329440074097827644656602306, False, 110.08333333333333333333333333, 111.10466666666666666666666667
19970117, 110.469, 110.656, 110.094,  110.469, Up, Down, -1, -1, 0, False, 0.8976160067040891678498830658, False, 110.15633333333333333333333333, 111.01066666666666666666666667
19970121, 110, 111.094, 109.719,  111, Up, Down, -1, -1, 0, False, 0.9430811489227473423403703929, False, 109.92733333333333333333333333, 111.021
19970122, 111, 111.281, 110.531,  110.531, Up, Down, -1, -1, 0, False, 0.9246924680729618811650970221, False, 110.11466666666666666666666667, 111.01033333333333333333333333
19970123, 110.531, 110.719, 110.156,  110.344, Up, Down, -1, -1, 0, False, 0.8902455663517274162922306390, False, 110.13533333333333333333333333, 111.03133333333333333333333333
19970124, 110.063, 110.125, 109.344,  109.719, Down, Down, -1, -1, 0, False, 0.9006983695563248052167801020, False, 110.01033333333333333333333333, 110.70833333333333333333333333
19970127, 109.688, 109.75, 109.094,  109.281, Down, Down, -1, -1, 0, False, 0.8773937629319129190056581875, False, 109.53133333333333333333333333, 110.198
19970128, 109.344, 110.531, 109.281,  109.563, Down, Down, -1, -1, 0, False, 0.9128800712241116886241669315, False, 109.23966666666666666666666667, 110.13533333333333333333333333
19970129, 109.125, 110.063, 108.938,  109.75, Down, Down, -1, -1, 0, False, 0.9330819692027677182790081761, False, 109.10433333333333333333333333, 110.11466666666666666666666667
19970130, 109.813, 110.219, 109.656,  110.063, Down, Down, -1, -1, 0, False, 0.8978360673739326974905312069, False, 109.29166666666666666666666667, 110.271
19970131, 110.188, 111.125, 110,  110.938, Up, Down, -1, -1, 0, False, 0.9194707276240343453485758539, False, 109.53133333333333333333333333, 110.469
